epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,297.357,2.85747,0.64384,0.87976,1.32704,0.00333263,0.00333263,0.00333263
2,537.348,1.95043,0.6977,0.90717,1.11172,0.00600603,0.00600603,0.00600603
3,762.428,2.06212,0.67517,0.89481,1.2051,0.00801944,0.00801944,0.00801944
4,979.986,2.10744,0.7097,0.91374,1.07435,0.00703,0.00703,0.00703
5,1187.52,1.86999,0.74622,0.9278,0.93412,0.00604,0.00604,0.00604
6,1397.04,1.67079,0.76907,0.93802,0.84822,0.00505,0.00505,0.00505
7,1603.28,1.51774,0.78887,0.94642,0.77174,0.00406,0.00406,0.00406
8,1808.27,1.3637,0.80198,0.9522,0.72217,0.00307,0.00307,0.00307
9,2014.22,1.21343,0.80824,0.95549,0.69502,0.00208,0.00208,0.00208
10,2218.83,1.07942,0.81287,0.95766,0.67609,0.00109,0.00109,0.00109
